0.0001 atm,,0.001 atm,,0.01 atm,,0.1 atm,,1 atm,,10 atm,,100 atm,
T,E,T,E,T,E,T,E,T,E,T,E,T,E
6679.056469,19.93071594,7502.501787,18.68360277,9332.380272,19.19168591,10887.77698,18.63741339,12557.5411,16.97459584,,,,
6770.550393,20.02309469,7571.12223,18.77598152,9446.747677,19.69976905,11025.01787,19.05311778,12717.65547,17.29792148,,,,
6907.791279,20.16166282,7662.616154,18.86836028,9561.115082,20.16166282,11139.38528,19.56120092,12877.76984,17.66743649,,,,
7022.158685,20.34642032,7776.98356,19.05311778,9675.482487,20.66974596,11276.62616,20.06928406,13037.8842,18.0369515,,,,
7136.52609,20.62355658,7891.350965,19.28406467,9766.976412,21.1778291,11413.86705,20.62355658,13220.87205,18.49884527,,,,
7273.766976,21.03926097,7982.844889,19.46882217,9881.343817,21.59353349,11528.23445,21.13163972,13380.98642,18.91454965,,,,
7365.260901,21.45496536,8074.338813,19.74595843,9972.837741,22.147806,11665.47534,21.63972286,13541.10079,19.37644342,,,,
7456.754825,21.91685912,8165.832738,20.02309469,10064.33167,22.65588915,11756.96926,22.147806,13701.21515,19.83833718,,,,
7548.248749,22.42494226,8257.326662,20.34642032,10132.95211,23.11778291,11894.21015,22.65588915,13861.32952,20.30023095,,,,
7616.869192,22.88683603,8325.947105,20.71593533,10247.31951,23.76443418,11985.70407,23.16397229,13998.57041,20.85450346,,,,
7685.489635,23.39491917,8394.567548,21.03926097,10338.81344,24.36489607,12168.69192,23.94919169,14112.93781,21.31639723,,,,
7731.236598,23.81062356,8440.31451,21.36258661,10407.43388,24.87297921,12283.05933,24.59584296,14250.1787,21.91685912,,,,
7799.857041,24.27251732,8508.934954,21.73210162,10476.05432,25.2886836,12420.30021,25.24249423,14364.5461,22.33256351,,,,
7845.604003,24.73441109,8577.555397,22.147806,10544.67477,25.79676674,12534.66762,25.84295612,14456.04003,22.70207852,,,,
7891.350965,25.15011547,8646.17584,22.56351039,10613.29521,26.35103926,12649.03503,26.44341801,14570.40743,22.97921478,,,,
7959.971408,25.70438799,8714.796283,23.07159353,10704.78914,26.99769053,12763.40243,26.95150115,14707.64832,23.25635104,,,,
7982.844889,26.16628176,8783.416726,23.57967667,10796.28306,27.6443418,12900.64332,27.69053118,14822.01573,23.44110855,,,,
8028.591851,26.72055427,8852.037169,24.04157044,10864.9035,28.29099307,13060.75768,28.33718245,14936.38313,23.62586605,,,,
8074.338813,27.27482679,8920.657613,24.59584296,10979.27091,28.98383372,13197.99857,28.93764434,,,,,,
8120.085776,27.78290993,8989.278056,25.15011547,11047.89135,29.53810624,13380.98642,29.63048499,,,,,,
8165.832738,28.29099307,9057.898499,25.61200924,11139.38528,30.32332564,13495.35382,30.09237875,,,,,,
8234.453181,29.03002309,9103.645461,26.16628176,11208.00572,30.96997691,13632.59471,30.46189376,,,,,,
8303.073624,29.95381062,9149.392423,26.72055427,11322.37312,31.70900693,13769.8356,30.92378753,,,,,,
8371.694067,30.73903002,9218.012866,27.32101617,11413.86705,32.3556582,13929.94996,31.43187067,,,,,,
8417.441029,31.70900693,9286.63331,27.96766744,11482.48749,32.90993072,14135.81129,31.98614319,,,,,,
8463.187991,32.63279446,9355.253753,28.75288684,11596.8549,33.60277136,14295.92566,32.40184758,,,,,,
8508.934954,33.46420323,9446.747677,29.44572748,11711.2223,34.24942263,14410.29307,32.63279446,,,,,,
8554.681916,34.1108545,9492.494639,30.23094688,11802.71623,34.75750577,14524.66047,32.81755196,,,,,,
8577.555397,34.75750577,9583.988563,31.01616628,11939.95711,35.26558891,14661.90136,32.81755196,,,,,,
8623.302359,35.45034642,9652.609006,31.98614319,12077.198,35.81986143,14822.01573,32.77136259,,,,,,
8669.049321,36.05080831,9721.22945,32.81755196,12191.5654,36.32794457,14913.50965,32.67898383,,,,,,
8714.796283,36.88221709,9766.976412,33.55658199,12374.55325,36.69745958,,,,,,,,
8760.543245,37.57505774,9835.596855,34.24942263,12557.5411,37.11316397,,,,,,,,
