0.0001 atm,,0.001 atm,,0.01 atm,,0.1 atm,,1 atm,,10 atm,,100 atm,
T,Z,T,Z,T,Z,T,Z,T,Z,T,Z ,T,Z
5145.917278,1.934690517,7117.637325,2.033033269,6949.562728,1.994336563,8981.805846,2.044587674,8321.225961,1.928336215,8467.330779,1.706978149,10054.94651,1.708616367
5241.981969,1.954051281,7334.014545,2.047702771,7069.798036,1.99927604,9258.281415,2.064134599,8477.466222,1.942943663,8659.421549,1.750515046,10247.07589,1.747337895
5362.140054,1.968621497,7490.254806,2.062310219,7262.159084,2.009105351,9546.745764,2.088509304,8621.679091,1.957538701,8827.496146,1.789211752,10451.30989,1.776441094
5494.364142,1.978388754,7658.483848,2.081745447,7430.503959,2.014094471,9775.073154,2.112821955,8753.864568,1.972121327,8995.609354,1.823093089,10583.37953,1.805469829
5638.615623,1.988168422,7802.658106,2.101155854,7562.766659,2.019046358,9967.35698,2.132282005,8898.116049,1.981900995,9199.804738,1.857011658,10775.62474,1.829745249
5830.976671,1.997997733,7970.809925,2.130221821,7695.029358,2.023998246,10135.58602,2.151717234,9018.312745,1.991655842,9379.983949,1.886090036,10919.799,1.849155656
6011.310327,2.007814633,8126.895741,2.164090747,7839.280839,2.033777914,10327.79262,2.180808022,9210.673793,2.001485153,9596.206724,1.920021016,11064.01187,1.863750693
6215.737378,2.012840985,8246.899382,2.197922441,7995.598322,2.038754623,10495.90583,2.214689359,9330.909101,2.00642463,9848.588898,1.944358489,11244.2683,1.883198332
6360.027469,2.017805284,8354.875631,2.231741724,8139.849802,2.048534291,10640.00287,2.243730505,9487.187973,2.016216708,10064.8889,1.968658729,11448.61813,1.897855423
6540.322514,2.032437553,8474.84066,2.270388787,8320.144847,2.06316656,10735.99034,2.272722008,9727.658589,2.026095662,10281.22751,1.988143601,11737.12109,1.917414759
6696.562775,2.047045001,8606.717247,2.32349437,8488.4125,2.077786419,10892.07615,2.306590934,9956.101812,2.035962205,10473.54994,2.002788281,11977.59171,1.927293713
6840.775644,2.061640039,8702.55027,2.37174735,8644.61415,2.097209237,11048.08475,2.350090598,10148.42425,2.050606885,10726.00934,2.017495015,12169.91415,1.941938393
6996.977294,2.081062856,8786.433124,2.410357181,8788.749797,2.121435013,11204.09334,2.393590263,10316.73051,2.060411375,10918.37039,2.027324326,12314.12701,1.95653343
7129.12416,2.100460852,8894.254928,2.463437942,8944.912835,2.1456732,11360.02471,2.446720667,10473.00939,2.070203453,11134.82483,2.032363089,12458.30127,1.975943837
7237.177631,2.124649396,8990.04934,2.516506292,9113.064654,2.174739167,11491.93991,2.49501088,10641.31565,2.080007943,11291.14231,2.037339798,12698.73328,1.990638161
7345.192491,2.15365331,9133.721652,2.598516502,9245.134298,2.203767903,11635.84389,2.548128873,10857.65426,2.099492814,11543.64032,2.047231163,12879.02832,2.00527043
7453.168739,2.187472593,9241.389011,2.670858741,9389.154111,2.242439787,11779.78648,2.596431497,11025.96052,2.109297304,11880.33007,2.057209402,13083.41676,2.015112152
7561.144988,2.221291876,9313.16725,2.7190869,9497.168971,2.271443701,11935.67924,2.65437727,11218.24435,2.128757353,12036.60894,2.067001481,13275.7392,2.029756832
7657.016622,2.264729487,9384.9841,2.76249969,9605.106608,2.310078353,12031.55087,2.697814881,11374.48461,2.143364801,12337.17791,2.081757858,13468.06163,2.044401512
