35900 ft,,59800 ft,,82200 ft,,100000 ft,,120300 ft,,154800 ft,,173500 ft,,200100 ft,,230400 ft,,259700 ft,,294800 ft,,322900 ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
,,,,32750,13.56009615,32958.33333,13.96875,31541.66667,14.74519231,33708.33333,14.70432692,33833.33333,15.11298077,37041.66667,15.68509615,31541.66667,16.50240385,33500,17.15625,33583.33333,18.58653846,37708.33333,20.83413462
,,,,,,34208.33333,13.64182692,32458.33333,14.5,35666.66667,14.66346154,34958.33333,15.07211538,38541.66667,15.88942308,32750,16.29807692,34833.33333,17.31971154,35166.66667,18.91346154,39041.66667,21.16105769
,,,,,,35166.66667,13.47836538,33500,14.21394231,37208.33333,14.74519231,36625,15.19471154,39958.33333,16.09375,33916.66667,16.33894231,36416.66667,17.56490385,36791.66667,19.24038462,40375,21.52884615
,,,,,,,,34916.66667,13.96875,38750,14.82692308,38083.33333,15.31730769,41250,16.21634615,34958.33333,16.37980769,37791.66667,17.85096154,38250,19.52644231,41458.33333,21.85576923
,,,,,,,,36250,13.92788462,40208.33333,14.94951923,39541.66667,15.43990385,42625,16.29807692,36375,16.50240385,39208.33333,18.05528846,39833.33333,19.93509615,42458.33333,22.14182692
,,,,,,,,37375,13.88701923,41583.33333,15.03125,40958.33333,15.52163462,44083.33333,16.42067308,37500,16.625,40500,18.25961538,41458.33333,20.22115385,43833.33333,22.55048077
,,,,,,,,38250,13.88701923,,,42583.33333,15.64423077,45208.33333,16.50240385,38958.33333,16.82932692,42000,18.50480769,42916.66667,20.50721154,45083.33333,22.91826923
,,,,,,,,,,,,43625,15.72596154,,,40375,17.03365385,43750,18.79086538,44416.66667,20.79326923,,
,,,,,,,,,,,,,,,,41500,17.23798077,45375,19.07692308,45583.33333,21.03846154,,
,,,,,,,,,,,,,,,,42875,17.52403846,,,,,,
,,,,,,,,,,,,,,,,44208.33333,17.81009615,,,,,,
,,,,,,,,,,,,,,,,45125,18.05528846,,,,,,
,,,,,,,,,,,,,,,,45833.33333,18.21875,,,,,,
