35900 ft,,59800 ft,,82200 ft,,100000 ft,,120300 ft,,154800 ft,,173500 ft,,200100 ft,,230400 ft,,259700 ft,,294800 ft,,322900 ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
25622.64151,9961.813842,25274.3106,9102.625298,22748.91147,7921.24105,19222.06096,6739.856802,20354.13643,6718.377088,17872.27866,5773.26969,19222.06096,5880.668258,27277.21335,6954.653938,25274.3106,6224.343675,30542.81567,7856.801909,31457.18433,7792.362768,30238.02612,6890.214797
26667.63425,10284.00955,26319.30334,9403.341289,24011.61103,8243.436754,20223.51234,6997.613365,21573.29463,6997.613365,19091.43687,6052.505967,20746.00871,6138.424821,28409.28882,7255.369928,26537.01016,6460.620525,31413.64296,8350.835322,32458.6357,8114.558473,30978.22932,7169.451074
27407.83745,10541.76611,27669.08563,9854.415274,25187.22787,8544.152745,21312.04644,7276.849642,23010.15965,7255.369928,20571.84325,6310.26253,22313.49782,6374.701671,29193.03338,7577.565632,27799.70972,6761.336516,32415.09434,8801.909308,33851.95936,8479.713604,31936.13933,7470.167064
28235.12337,10821.00239,28714.07837,10219.57041,26449.92743,8887.828162,22574.74601,7577.565632,24490.56604,7556.085919,22052.24964,6568.019093,23968.06967,6653.937947,30063.86067,8093.078759,28844.70247,7105.011933,33590.71118,9210.023866,35201.74165,8737.470167,33024.67344,7727.923628
28757.61974,10992.8401,30194.48476,10863.96181,27582.0029,9231.50358,23793.90421,7856.801909,25840.34833,7878.281623,23314.9492,6782.816229,25622.64151,6954.653938,30891.14659,8673.031026,29671.98839,7534.606205,34896.9521,9553.699284,36638.60668,9038.186158,35071.11756,8114.558473
,,,,28409.28882,9489.260143,25143.6865,8178.997613,27277.21335,8264.916468,24359.94194,6976.133652,26928.88244,7255.369928,31936.13933,9338.902148,30499.27431,8093.078759,36203.19303,9875.894988,38336.71988,9317.422434,36899.85486,8372.315036
,,,,29018.86792,9725.536993,26058.05515,8393.794749,28844.70247,8780.429594,25970.97242,7319.809069,28278.66473,7620.52506,32894.04935,9854.415274,31152.39478,8544.152745,37335.26851,10133.65155,40034.83309,9596.658711,38206.09579,8565.632458
,,,,29976.77794,10069.21241,27320.75472,8758.949881,29846.15385,9167.064439,27233.67199,7599.045346,29280.11611,7964.200477,34243.83164,10455.84726,32153.84615,9124.105012,38685.0508,10412.88783,41297.53266,9789.976134,39904.209,8780.429594
,,,,30716.98113,10434.36754,28452.83019,9124.105012,30673.43977,9575.178998,28409.28882,7942.720764,30281.56749,8522.673031,36072.56894,11143.19809,33155.29753,9575.178998,40078.37446,10692.12411,42865.02177,10026.25298,41776.48766,8995.22673
,,,,31544.26705,10885.44153,29759.07112,9618.138425,31500.72569,10047.7327,29280.11611,8243.436754,30804.06386,8909.307876,37291.72714,11551.31265,34548.62119,10069.21241,41820.02903,11014.31981,44301.88679,10219.57041,43866.47315,9231.50358
